Question-ID,Principle,Indicators,Questions,Plain-english,Explanation,Author,DAO,Search_Difficulty,Document,Response-Values-2024_03_10,Points,Points-NA
BSP-01,Broad Stakeholder Participation,Economic Inequality,Is the DAO 's Gini Coefficient for economic tokens less than or equal to fifty percent ( <= 50%)?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,,Does not answer question,0.0,0.000
BSP-02,Broad Stakeholder Participation,Voting Power,Is the Banzhaf Index for each individual member less than or equal to twenty-five percent (<= 25.0%)?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,,Does not answer question,0.0,0.000
BSP-03,Broad Stakeholder Participation,Communication,Does the DAO explicitly state that private communication channels are for sensitive or confidential matters?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,,Does not answer question,0.0,0.000
BSP-04,Broad Stakeholder Participation,Identity,Does the DAO explicitly require members to verify that they have a unique digital identity?,Partial,"Gitcoin does not require GTC token holders to have a unique digital identity. However, Gitcoin Stewards are required to provide a brief introduction or bio of themselves as part of their Steward nomination, including: 1) Gitcoin Username, 2) ETH Address, 3) Discord Handle (optional), 4) Statement of Intention / Your Values & Reasons for Joining, and 5) Your Web3 Qualifications / Skills. Additionally, GTC holders can verify their own or someone else's identity via GTC staking.

",Charles Adjovu,Gitcoin,Hard,"Introducing Stewards Governance,GTC Staking on your Identity",Partial,50.0,50.000
BSP-05,Broad Stakeholder Participation,Management,Does the DAO have any leadership roles?,Yes,"The leadership roles in Gitcoin are Stewards. Stewards can be self-nominated or proxy-nominated. Stewards can also serve on the Stewardship Council, that can be considered an additional leadership role in Gitcoin.",Charles Adjovu,Gitcoin,Hard,"Introducing Stewards Governance,How do I become a Gitcoin Steward?,Gitcoin Delegate Dashboard,Proposal: V2 of the Steward Council,Gitcoin Steward Council Election,V2 of the Steward Council: Nomination thread and election RESULTS",Yes,100.0,100.000
BSP-06,Broad Stakeholder Participation,Management,Does the DAO have any management roles?,Partial,"Gitcoin's workstreams are expected to have management roles (workstreams are expected to be led by a Steward), but there is a lack of information on how management roles are defined. Additionally, a seat on the Cross Stream DAO Operations can be considered a management role.",Charles Adjovu,Gitcoin,Medium,"Gitcoin DAO Governance Process v3,CSDO - Strategy & Ops",Partial,50.0,50.000
BSP-07,Broad Stakeholder Participation,Conduct,"Does the DAO require members to adhere to a standard of conduct, such as described in a code of conduct?",Yes,Gitcoin requires token holders to abide by the Gitcoin Code of Conduct and the Rules of Engagement on the governance forum.,Charles Adjovu,Gitcoin,Medium,"Gitcoin Code of Conduct,Forum Guidelines and Code of Conduct 2023",Yes,100.0,100.000
BSP-08,Broad Stakeholder Participation,Language,Does the DAO provide a glossary of internal terms?,Partial,"Gitcoin defines all the relevant terms in Gitcoin's governance process. However, the terms are not collated into a single document.",Charles Adjovu,Gitcoin,Medium,Gitcoin DAO Governance Process v3,Partial,50.0,50.000
BSP-09,Broad Stakeholder Participation,Governance,Does the DAO use a participatory governance model?,Partial,"Gitcoin has a particiaptory governance system. Gitcoin utilizes a referendum system where GTC token holders vote on proposals. Regarding voting, any GTC token holder can vote on a proposal, either by voting themselves or dlegating their voting power to a Gitcoin Steward (i.e., proxy voting). Regarding proposal drafting, it appears that any GTC token holder can submit a proposal for deliberation. Though, it is unclear if holding GTC tokens is required to submit a proposal. Lastly, any GTC token holder can become a Gitcoin Steward through self-nomination and complying with the rules for Gitcoin Stewards.",Charles Adjovu,Gitcoin,Easy,Gitcoin DAO Governance Process v3,Partial,50.0,50.000
BSP-10,Broad Stakeholder Participation,Dispute Resolution,Does the DAO have an explicitly defined dispute resolution mechanism?,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,,Does not answer question,0.0,0.000
