Question-ID,Questions,Plain-english,Explanation,Author,Completion-Preliminary,Search_Difficulty,Materials,Notes,Date-Completion_Preliminary,Flag-Review
BSP-01,Is the DAO 's Gini Coefficient for economic tokens less than or equal to fifty percent ( <= 50%)?,,,,,,,,8/16/2023 2:16pm,
BSP-02,Is the Banzhaf Index for each individual member less than or equal to twenty-five percent (<= 25.0%)?,,,,,,,,8/16/2023 2:16pm,
BSP-03,Does the DAO explicitly state that private communication channels are for sensitive or confidential matters?,,,,,,,,8/16/2023 2:16pm,
BSP-04,Does the DAO explicitly require members to verify that they have a unique digital identity?,,,,,,,,8/16/2023 2:16pm,
BSP-05,Does the DAO have any leadership roles?,,,,,,,,8/16/2023 2:16pm,
BSP-06,Does the DAO have any management roles?,,,,,,,,8/16/2023 2:16pm,
BSP-07,"Does the DAO require members to adhere to a standard of conduct, such as described in a code of conduct?",,,,,,,,8/16/2023 2:16pm,
BSP-08,Does the DAO provide a glossary of internal terms?,,,,,,,,8/16/2023 2:16pm,
BSP-09,Does the DAO use a participatory governance model?,,,,,,,,8/16/2023 2:16pm,
BSP-10,Does the DAO have an explicitly defined dispute resolution mechanism?,,,,,,,,8/16/2023 2:16pm,
BSP-11,Does the DAO have a shared ownership model?,,,,,,,,8/16/2023 2:16pm,
BSP-12,Does the DAO have a well-defined procedure for how members can take defined leadership or management roles?,,,,,,,,8/16/2023 2:16pm,
BSP-13,Does the DAO provide members multifaceted activities to receive rewards?,,,,,,,,8/16/2023 2:16pm,
CBC-01,Does the DAO have leadership from multiple geographic regions?,,,,,,,,8/16/2023 2:16pm,
CBC-02,Does the DAO have members in multiple geographic regions?,,,,,,,,8/16/2023 2:16pm,
CBC-03,Does the DAO have managers from multiple geographic regions?,,,,,,,,8/16/2023 2:16pm,
PDC-01,Does the DAO have a collective treasury (or multisig account)?,,,,,,,,8/16/2023 2:16pm,
PDC-02,"Does the DAO have currencies recognizing value beyond financial relations, such as labor, contributor well-being, or environmental impact?",,,,,,,,8/16/2023 2:16pm,
PDC-03,Does the DAO have a collective membership mark to signify membership in the DAO?,,,,,,,,8/16/2023 2:16pm,
PDC-04,Does the DAO redistribute profits/surplus on a basis other than capital holdings?,,,,,,,,8/16/2023 2:16pm,
PDC-05,Does the DAO have any accountability mechanisms that subject the power of leaders and managers to the members?,,,,,,,,8/16/2023 2:16pm,
PDC-06,"Does the DAO have an amendment procedure for its rules, procedures or policies?",,,,,,,,8/16/2023 2:16pm,
PDC-07,Does the DAO have a decision-making matrix?,,,,,,,,8/16/2023 2:16pm,
PDC-08,"Does the DAO have metrics beyond governance and finance, such as contributor well-being or happiness?",,,,,,,,8/16/2023 2:16pm,
PDC-09,Does the DAO have separate tokens for governance and economic rights?,,,,,,,,8/16/2023 2:16pm,
PDC-10,Does the DAO not make governance tokens tradeable?,,,,,,,,8/16/2023 2:16pm,
PDC-11,Does the DAO provide education and training opportunities for members to meaningful participate in governance?,,,,,,,,8/16/2023 2:16pm,
CPB-01,Does the DAO publish content on its activites in its' public channels?,,,,,,,,8/16/2023 2:16pm,
CPB-02,"Does the DAO make an explicit, clearly articulated statement of its purpose, values and norms?",,,,,,,,8/16/2023 2:16pm,
IDA-01,Does the DAO provide an organizational analytics dashboard?,,,,,,,,8/16/2023 2:16pm,
IDA-02,"Does the DAO make its governance activities (e.g., proposals, decisions) publicly accessible at free to low-cost?",,,,,,,,8/16/2023 2:16pm,
IDA-03,"Does the DAO make its organizational documents (bylaws, policies, strategic plan, etc.) publicly accessible at free to low-cost?",,,,,,,,8/16/2023 2:16pm,
IDA-04,"Does the DAO make its technologies open source or source available, and publicly accessible at free to low-cost?",,,,,,,,8/16/2023 2:16pm,
IDA-05,"Does the DAO explicitly report whether any Web3 tools it uses, internally or externally, have been audited?",,,,,,,,8/16/2023 2:16pm,
IDA-06,"Does the DAO explicitly state that it operates on, or interacts with, more than one (1) blockchain?",,,,,,,,8/16/2023 2:16pm,
IDA-07,Does the DAO explicitly describe it’s financial incentive or compensation structure for contributors?,,,,,,,,8/16/2023 2:16pm,
D2D-01,Does the DAO have any planned transactions with another DAO?,,,,,,,,8/16/2023 2:16pm,
D2D-02,Does the DAO have any current transactions with another DAO?,,,,,,,,8/16/2023 2:16pm,
OT-01,Does the DAO currently use any Web3 organizational technology for business-to-business operations?,,,,,,,,8/16/2023 2:16pm,
OT-02,Does the DAO currently use any Web3 organizational technology for treasury management?,,,,,,,,8/16/2023 2:16pm,
OT-03,Does the DAO currently use any Web3 organizational technology for contribution-tracking?,,,,,,,,8/16/2023 2:16pm,
OT-04,Does the DAO currently use any Web3 organizational technology for decision-making?,,,,,,,,8/16/2023 2:16pm,
HCAG-01,Does the DAO explicitly acknowledge the possible vulnerabilities of algorithmic decision-making?,,,,,,,,8/16/2023 2:16pm,
HCAG-02,"Does the DAO educate its members on the development and use of algorithms, as they pertain to the DAO?",,,,,,,,8/16/2023 2:16pm,
HCAG-03,Does the DAO explicitly consider the short- and long-term social consequences of the algorithmic systems in the development and use of algorithms?,,,,,,,,8/16/2023 2:16pm,
